대표운영사,운영사구분,자조합 규모(백만원) 
스틱벤처스,벤처투자회사,33400
엘비인베스트먼트,벤처투자회사,25000
에스엘인베스트먼트,벤처투자회사,26904
에스제이벤처인베스트먼트,벤처투자회사,20000
한화투자증권,신기술사,20000
일신창업투자,벤처투자회사,95236
스톤브릿지벤처스,벤처투자회사,51500
스틱벤처스,벤처투자회사,119000
일신창업투자,벤처투자회사,29500
센츄리온기술투자,벤처투자회사,25250
스마일게이트인베스트먼트,벤처투자회사,12000
원익투자파트너스,벤처투자회사,5000
인터베스트,벤처투자회사,28000
엘비인베스트먼트,벤처투자회사,30000
에스유앤피,벤처투자회사,15000
화이텍인베스트먼트,벤처투자회사,10000
프리미어파트너스,LLC,50000
유안타인베스트먼트,벤처투자회사,10500
에이티넘인베스트먼트,벤처투자회사,11000
신한캐피탈,신기술사,10000
케이디파트너스,기타운용사,10000
한화투자증권,신기술사,10000
마이벤처파트너스,벤처투자회사,11100
대성창업투자,벤처투자회사,17000
에스유앤피,벤처투자회사,28341
아이비케이캐피탈,신기술사,13000
에이티넘인베스트먼트,벤처투자회사,22000
아주아이비투자,신기술사,16000
파트너스인베스트먼트,벤처투자회사,15000
케이비인베스트먼트,벤처투자회사,20000
에이치비인베스트먼트,벤처투자회사,5000
한화투자증권,신기술사,10000
이노폴리스파트너스,LLC,80000
대성창업투자,벤처투자회사,10000
스틱벤처스,벤처투자회사,185200
우리인베스트먼트,벤처투자회사,18700
에이치비인베스트먼트,벤처투자회사,15000
씨제이인베스트먼트,벤처투자회사,10000
플래티넘기술투자,벤처투자회사,10000
원익투자파트너스,벤처투자회사,8000
화이텍인베스트먼트,벤처투자회사,10000
신한벤처투자,벤처투자회사,20000
키움인베스트먼트,벤처투자회사,20000
린드먼아시아인베스트먼트,벤처투자회사,13000
(말소_신기사)케이티비네트워크,신기술사,20000
알케이캐피탈,벤처투자회사,5000
이수창업투자,벤처투자회사,25000
에스비아이인베스트먼트,벤처투자회사,9000
스톤브릿지벤처스,벤처투자회사,10000
미시간벤처캐피탈,벤처투자회사,10000
마이벤처파트너스,벤처투자회사,11000
현대기술투자,벤처투자회사,20000
엘비인베스트먼트,벤처투자회사,37000
케이디파트너스,기타운용사,10000
유안타인베스트먼트,벤처투자회사,30000
대성창업투자,벤처투자회사,10000
린드먼아시아인베스트먼트,벤처투자회사,31194
에이치비인베스트먼트,벤처투자회사,40000
원익투자파트너스,벤처투자회사,18000
레오파트너스인베스트먼트,벤처투자회사,14150
인터베스트,벤처투자회사,60000
대경인베스트먼트,벤처투자회사,20000
에스브이인베스트먼트,벤처투자회사,15000
코오롱인베스트먼트,벤처투자회사,10000
큐캐피탈파트너스,신기술사,30000
유안타인베스트먼트,벤처투자회사,30000
한국투자파트너스,벤처투자회사,35000
스틱벤처스,벤처투자회사,158800
대성창업투자,벤처투자회사,7200
스톤브릿지벤처스,벤처투자회사,29000
에스유앤피,벤처투자회사,42500
캡스톤파트너스,LLC,35875
우리인베스트먼트,벤처투자회사,10000
키움인베스트먼트,벤처투자회사,10000
에스비아이인베스트먼트,벤처투자회사,25000
컴퍼니케이파트너스,벤처투자회사,10000
에스엘인베스트먼트,벤처투자회사,10000
에이치큐인베스트먼트,벤처투자회사,15000
스마일게이트인베스트먼트,벤처투자회사,24000
파트너스인베스트먼트,벤처투자회사,30000
윈브릿지캐피탈,벤처투자회사,25100
유니온투자파트너스,벤처투자회사,20000
동훈인베스트먼트,벤처투자회사,10000
(말소_창투사)이앤인베스트먼트,벤처투자회사,10000
한화투자증권,신기술사,20000
에스유앤피,벤처투자회사,20000
아이비케이캐피탈,신기술사,12000
한국투자파트너스,벤처투자회사,30000
에이치비인베스트먼트,벤처투자회사,40000
에이티넘인베스트먼트,벤처투자회사,45000
대성창업투자,벤처투자회사,16000
케이넷투자파트너스,LLC,50000
씨케이디창업투자,벤처투자회사,7500
신한벤처투자,벤처투자회사,28000
프리미어파트너스,LLC,25000
유안타인베스트먼트,벤처투자회사,12000
삼호그린인베스트먼트,벤처투자회사,7600
대경인베스트먼트,벤처투자회사,22000
에스엘인베스트먼트,벤처투자회사,20000
엘비인베스트먼트,벤처투자회사,20000
일신창업투자,벤처투자회사,10000
미시간벤처캐피탈,벤처투자회사,12500
에스비브이에이,벤처투자회사,10000
우리인베스트먼트,벤처투자회사,31400
아주아이비투자,신기술사,10000
메이플투자파트너스,벤처투자회사,10000
에스브이인베스트먼트,벤처투자회사,25000
씨제이인베스트먼트,벤처투자회사,10000
인터베스트,벤처투자회사,100000
키움인베스트먼트,벤처투자회사,20000
파트너스인베스트먼트,벤처투자회사,25000
원익투자파트너스,벤처투자회사,20000
컴퍼니케이파트너스,벤처투자회사,15000
알바트로스인베스트먼트,벤처투자회사,11500
스마일게이트인베스트먼트,벤처투자회사,10000
신한벤처투자,벤처투자회사,12000
대성창업투자,벤처투자회사,10000
코오롱인베스트먼트,벤처투자회사,13000
플래티넘기술투자,벤처투자회사,5000
에스엘인베스트먼트,벤처투자회사,12500
산은캐피탈,신기술사,10000
중소기업은행,기타운용사,42000
레오파트너스인베스트먼트,벤처투자회사,10000
골드레인인베스트먼트,LLC,27500
이수창업투자,벤처투자회사,21150
스카이레이크인베스트먼트,기타운용사,100000
이앤인베스트먼트,신기술사,10000
우리기술투자,신기술사,10000
우리인베스트먼트,벤처투자회사,10000
동훈인베스트먼트,벤처투자회사,10000
스톤브릿지벤처스,벤처투자회사,11000
에스엠비투자파트너스,벤처투자회사,10000
아주아이비투자,신기술사,16000
비케이인베스트먼트,벤처투자회사,10300
씨케이디창업투자,벤처투자회사,6000
한국투자파트너스,벤처투자회사,70000
에스유앤피,벤처투자회사,40861
이상인베스트먼트,벤처투자회사,15000
한화투자증권,신기술사,40000
비엔케이벤처투자,벤처투자회사,20000
에이치비인베스트먼트,벤처투자회사,51000
에이티넘인베스트먼트,벤처투자회사,40000
일신창업투자,벤처투자회사,56600
큐브벤처파트너스,LLC,30000
티에스인베스트먼트,벤처투자회사,15000
엘비인베스트먼트,벤처투자회사,93382
미래에쿼티파트너스,기타운용사,20000
큐캐피탈파트너스,신기술사,20000
컴퍼니케이파트너스,벤처투자회사,10000
씨제이인베스트먼트,벤처투자회사,41900
산은캐피탈,신기술사,24600
지온인베스트먼트,벤처투자회사,12000
미시간벤처캐피탈,벤처투자회사,15000
엘비인베스트먼트,벤처투자회사,30000
아이엠엠인베스트먼트,벤처투자회사,15500
트라이던트앤파트너스,벤처투자회사,10500
한국투자파트너스,벤처투자회사,60000
대성창업투자,벤처투자회사,40000
보광인베스트먼트,벤처투자회사,35000
에스브이인베스트먼트,벤처투자회사,24920
유티씨인베스트먼트,벤처투자회사,15000
트라이던트앤파트너스,벤처투자회사,10000
포스코기술투자,신기술사,10000
엘앤에스벤처캐피탈,벤처투자회사,10000
